from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5943960;5859425;198;13833;68;59;16088;69;63;16088;30;16153;26;16153
5943961;5859425;200;14000;67;55;15838;67;59;15838;29;15916;26;15916
5943962;5859425;203;14216;67;54;15784;66;58;15784;28;15363;25;15062
5943963;5859425;204;14283;67;53;15274;66;57;15274;30;15603;27;15603
5943964;5859425;209;14624;70;60;15742;69;64;15742;37;16420;34;16442
5943965;5859425;210;14690;69;61;15843;72;60;16182;36;16896;32;16947
5943966;5859425;210;14682;73;63;16079;74;58;16079;32;17203;28;17253
5943967;5859425;221;15446;86;73;16721;87;68;16721;32;17139;29;17190
5943968;5859425;222;15564;84;72;18056;85;70;16866;32;17188;29;16883
5943969;5859425;219;15319;86;74;18218;88;72;17037;32;16653;28;16348
5943970;5859425;227;15919;84;71;18472;86;72;17579;34;19100;30;17168
5943971;5859425;226;15835;82;72;18619;83;71;17726;33;19035;29;17123
5943972;5859425;225;15784;77;66;18011;82;69;17797;33;19049;29;16989
5943973;5859425;227;15900;81;71;18930;82;69;18037;34;19360;30;17427
5943974;5859425;232;16260;86;74;19472;88;75;18946;38;19885;34;17953
5943975;5859425;231;16138;86;76;19120;88;75;19350;39;19933;34;18025
5943976;5859425;233;16330;86;76;18360;92;78;19352;38;20079;34;18147
5943977;5859425;234;16402;86;77;18446;92;78;19340;38;20479;33;18547
5943978;5859425;238;16694;90;80;18763;93;81;19501;40;20925;35;18993
5943979;5859425;241;16886;94;85;19312;96;83;19694;41;21222;36;19290
5943980;5859425;246;17206;96;85;22087;97;83;20345;43;21862;37;19948
5943981;5859425;250;17466;96;83;21348;99;84;20455;50;22014;45;20100
5943982;5859425;254;17800;97;85;21860;104;86;20967;49;21981;44;20066
5943983;5859425;258;18084;100;89;22144;105;90;21251;54;22431;48;20516
5943984;5859425;268;18750;113;99;22810;113;100;21917;59;25942;53;25641
5943985;5859425;271;18951;116;101;23011;118;102;22118;56;25753;51;25452
5943988;5859425;280;19625;116;108;22501;123;107;29937;60;29865;54;29923
5943989;5859425;278;19477;111;101;22124;120;106;29824;63;30066;57;30124
5943990;5859425;279;19542;108;98;23733;112;100;29484;55;29582;49;29640
5943991;5859425;283;19808;104;94;23456;110;96;29138;52;26057;46;25755
5943992;5859425;283;19786;100;91;24170;108;94;29279;47;25715;41;25413
5943993;5859425;288;20132;96;87;23605;103;92;22649;44;25434;38;25132
